ID,Reference,Species,Synonym,Family,Growth_form,Life_span,Tissue,Seed_Cat,Leaf_strategy,Leaf_form,PS_type,Dr,Lr,Wr,Dl,Hs,Ws,DBH,Vr,Vs,Drel,Lrel,Y_Xshoot,Y_Xroot,S_Ry,S_Rx,Biome,Eco_Name,Realm,Eco_ID,Vegetation,Location,Lat,Long,Spatial_buffer,Elevation,Soil_description,USDA_soil_texture,EU_soil_texture,Water_Table_Depth_Fan,BIO1,BIO2,BIO3,BIO4,BIO5,BIO6,BIO7,BIO8,BIO9,BIO10,BIO11,BIO13,BIO14,BIO15,BIO16,BIO17,BIO18,BIO19,MAP,MAE,Ai,Sa,Msur,Mdef,Psur,Pdef,Rclass,Rregime,Aclass
46,Albertson 1937:23,Brickellia eupatorioides,Kuhnia glutinosa,Asteraceae,Semi-shrub,P,Woody,Dicot,,broad-leaf,C3,4.27,0.62,NA,NA,0.36,0.15,NA,3.44,0.00424,1006.802381,146.1867625,2.4,3.44,0.08,0.12,Temperate Grasslands; Savannas & Shrublands,Central and Southern mixed grasslands,NA.,50803,G,Ellis County. W central Kansas. USA,38.86,-99.33,0.984,561,deep clay loam over limestone,ClLo,F,NA,285.32,14.75,33.99,1024.78,306.75,263.35,43.4,295.23,272.6,297.95,272.6,0.09,0.013,54.70168,0.247,0.045,0.239,0.045,0.58,1.24,0.47,0,0,12,0,0.658,D,S,sa
47,Albertson 1937,Buchloe dactyloides,Bulbilis dactyloides,Poaceae,Grass,P,Herbaceous,Monocot,,,C4,1.49,0.11,NA,NA,0.16,0.08,NA,0.04,0.00054,2778.994514,205.1606688,2,6.77,0.11,0.36,Temperate Grasslands; Savannas & Shrublands,Central and Southern mixed grasslands,NA.,50803,G,Ellis County. W central Kansas. USA,38.86,-99.33,0.984,561,deep clay loam over limestone,ClLo,F,NA,285.32,14.75,33.99,1024.78,306.75,263.35,43.4,295.23,272.6,297.95,272.6,0.09,0.013,54.70168,0.247,0.045,0.239,0.045,0.58,1.24,0.47,0,0,12,0,0.658,D,S,sa
48,Albertson 1937,Carex gravida,,Cyperaceae,Grass,P,Herbaceous,Monocot,,,C3,1.88,0.09,NA,NA,0.41,0.13,NA,0.03,0.00363,518.1895679,24.8069474,3.15,10.44,0.22,0.72,Temperate Grasslands; Savannas & Shrublands,Central and Southern mixed grasslands,NA.,50803,G,Ellis County. W central Kansas. USA,38.86,-99.33,0.984,561,deep clay loam over limestone,ClLo,F,NA,285.32,14.75,33.99,1024.78,306.75,263.35,43.4,295.23,272.6,297.95,272.6,0.09,0.013,54.70168,0.247,0.045,0.239,0.045,0.58,1.24,0.47,0,0,12,0,0.658,D,S,sa
49,Albertson 1937,Chaetopappa ericoides,Leucelene ericoides,Asteraceae,Semi-shrub,P,Woody,Dicot,,,C3,0.61,0.16,NA,NA,0.19,0.19,NA,0.03,0.00359,169.8519002,44.55131808,1,1.91,0.31,0.59,Temperate Grasslands; Savannas & Shrublands,Central and Southern mixed grasslands,NA.,50803,G,Ellis County. W central Kansas. USA,38.86,-99.33,0.984,561,10 to 20 cm clay loam over limestone,ClLo,F,NA,285.32,14.75,33.99,1024.78,306.75,263.35,43.4,295.23,272.6,297.95,272.6,0.09,0.013,54.70168,0.247,0.045,0.239,0.045,0.58,1.24,0.47,0,0,12,0,0.658,D,S,sa
50,Albertson 1937,Clematis fremontii,Viorna fremontii,Ranunculaceae,Forb,P,Herbaceous,Dicot,,,C3,0.61,0.61,NA,NA,0.27,0.2,NA,0.48,0.00565,107.8716837,107.8716837,1.35,0.5,0.44,0.16,Temperate Grasslands; Savannas & Shrublands,Central and Southern mixed grasslands,NA.,50803,G,Ellis County. W central Kansas. USA,38.86,-99.33,0.984,561,10 to 20 cm clay loam over limestone,ClLo,F,NA,285.32,14.75,33.99,1024.78,306.75,263.35,43.4,295.23,272.6,297.95,272.6,0.09,0.013,54.70168,0.247,0.045,0.239,0.045,0.58,1.24,0.47,0,0,12,0,0.658,D,S,sa
51,Albertson 1937,Dalea purpurea,Petalostemon purpureum,Fabaceae,Semi-shrub,P,Woody,Dicot,,,C3,0.91,0.21,NA,NA,0.47,0.11,NA,0.08,0.00298,305.6043571,70.5240824,4.27,2.17,0.52,0.26,Temperate Grasslands; Savannas & Shrublands,Central and Southern mixed grasslands,NA.,50803,G,Ellis County. W central Kansas. USA,38.86,-99.33,0.984,561,deep clay loam over limestone,ClLo,F,NA,285.32,14.75,33.99,1024.78,306.75,263.35,43.4,295.23,272.6,297.95,272.6,0.09,0.013,54.70168,0.247,0.045,0.239,0.045,0.58,1.24,0.47,0,0,12,0,0.658,D,S,sa
52,Albertson 1937,Elymus canadensis,,Poaceae,Grass,P,Herbaceous,Monocot,,,C3,1.23,0.08,NA,NA,0.79,0.15,NA,0.02,0.00931,132.1590414,8.595710007,5.27,7.69,0.64,0.94,Temperate Grasslands; Savannas & Shrublands,Central and Southern mixed grasslands,NA.,50803,G,Ellis County. W central Kansas. USA,38.86,-99.33,0.984,561,deep clay loam over limestone,ClLo,F,NA,285.32,14.75,33.99,1024.78,306.75,263.35,43.4,295.23,272.6,297.95,272.6,0.09,0.013,54.70168,0.247,0.045,0.239,0.045,0.58,1.24,0.47,0,0,12,0,0.658,D,S,sa
53,Albertson 1937,Evolvulus nuttallianus,Evolvulus pilosus,Convolvulaceae,Semi-shrub,P,Woody,Dicot,E,broad-leaf,C3,0.65,0.07,NA,NA,0.11,0.08,NA,0.01,0.00037,1763.364426,189.9007844,1.38,4.64,0.17,0.57,Temperate Grasslands; Savannas & Shrublands,Central and Southern mixed grasslands,NA.,50803,G,Ellis County. W central Kansas. USA,38.86,-99.33,0.984,561,10 to 20 cm clay loam over limestone,ClLo,F,NA,285.32,14.75,33.99,1024.78,306.75,263.35,43.4,295.23,272.6,297.95,272.6,0.09,0.013,54.70168,0.247,0.045,0.239,0.045,0.58,1.24,0.47,0,0,12,0,0.658,D,S,sa
54,Albertson 1937,Gaura coccinea,,Onagraceae,Forb,P,Herbaceous,Dicot,,,C3,0.95,0.18,NA,NA,0.31,0.12,NA,0.06,0.00234,406.4440751,77.01045633,2.58,2.64,0.33,0.33,Temperate Grasslands; Savannas & Shrublands,Central and Southern mixed grasslands,NA.,50803,G,Ellis County. W central Kansas. USA,38.86,-99.33,0.984,561,deep clay loam over limestone,ClLo,F,NA,285.32,14.75,33.99,1024.78,306.75,263.35,43.4,295.23,272.6,297.95,272.6,0.09,0.013,54.70168,0.247,0.045,0.239,0.045,0.58,1.24,0.47,0,0,12,0,0.658,D,S,sa
55,Albertson 1937:p. 533,Glycyrrhiza lepidota,,Fabaceae,Forb,P,Herbaceous,Dicot,,,C3,3.66,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,Temperate Grasslands; Savannas & Shrublands,Central and Southern mixed grasslands,NA.,50803,G,Ellis County. W central Kansas. USA,38.86,-99.33,0.984,561,10 to 20 cm clay loam over limestone,ClLo,F,NA,285.32,14.75,33.99,1024.78,306.75,263.35,43.4,295.23,272.6,297.95,272.6,0.09,0.013,54.70168,0.247,0.045,0.239,0.045,0.58,1.24,0.47,0,0,12,0,0.658,D,S,sa
56,Albertson 1937,Gutierrezia sarothrae,Gutierrezia sarothrae (Pursh) Britton & Rusby,Asteraceae,Semi-shrub,P,Woody,Dicot,E,,C3,1.52,0.58,NA,NA,0.27,0.15,NA,1.07,0.00318,477.8578044,182.340478,1.8,1.31,0.18,0.13,Temperate Grasslands; Savannas & Shrublands,Central and Southern mixed grasslands,NA.,50803,G,Ellis County. W central Kansas. USA,38.86,-99.33,0.984,561,deep clay loam over limestone,ClLo,F,NA,285.32,14.75,33.99,1024.78,306.75,263.35,43.4,295.23,272.6,297.95,272.6,0.09,0.013,54.70168,0.247,0.045,0.239,0.045,0.58,1.24,0.47,0,0,12,0,0.658,D,S,sa
57,Albertson 1937,Hedyotis nigricans,Houstonia angustifolia,Rubiaceae,Semi-shrub,P,Woody,Dicot,,broad-leaf,C3,0.61,0.22,NA,NA,0.2,0.18,NA,0.06,0.00339,179.7861394,64.84090274,1.11,1.39,0.33,0.41,Temperate Grasslands; Savannas & Shrublands,Central and Southern mixed grasslands,NA.,50803,G,Ellis County. W central Kansas. USA,38.86,-99.33,0.984,561,10 to 20 cm clay loam over limestone,ClLo,F,NA,285.32,14.75,33.99,1024.78,306.75,263.35,43.4,295.23,272.6,297.95,272.6,0.09,0.013,54.70168,0.247,0.045,0.239,0.045,0.58,1.24,0.47,0,0,12,0,0.658,D,S,sa
58,Albertson 1937,Lesquerella ovalifolia,,Brassicaceae,Forb,P,Herbaceous,Dicot,,,C3,0.65,0.09,NA,NA,0.18,0.13,NA,0.01,0.00159,408.0895977,56.50471352,1.38,3.61,0.28,0.72,Temperate Grasslands; Savannas & Shrublands,Central and Southern mixed grasslands,NA.,50803,G,Ellis County. W central Kansas. USA,38.86,-99.33,0.984,561,10 to 20 cm clay loam over limestone,ClLo,F,NA,285.32,14.75,33.99,1024.78,306.75,263.35,43.4,295.23,272.6,297.95,272.6,0.09,0.013,54.70168,0.247,0.045,0.239,0.045,0.58,1.24,0.47,0,0,12,0,0.658,D,S,sa
59,Albertson 1937,Lithospermum incisum,Lithospermum linearifolium,Boraginaceae,Forb,P,Herbaceous,Dicot,,,C3,0.64,0.78,NA,NA,0.21,0.11,NA,0.82,0.00133,481.035011,586.2614197,1.91,0.41,0.33,0.07,Temperate Grasslands; Savannas & Shrublands,Central and Southern mixed grasslands,NA.,50803,G,Ellis County. W central Kansas. USA,38.86,-99.33,0.984,561,10 to 20 cm clay loam over limestone,ClLo,F,NA,285.32,14.75,33.99,1024.78,306.75,263.35,43.4,295.23,272.6,297.95,272.6,0.09,0.013,54.70168,0.247,0.045,0.239,0.045,0.58,1.24,0.47,0,0,12,0,0.658,D,S,sa
60,Albertson 1937,Lygodesmia juncea,,Asteraceae,Forb,P,Herbaceous,Dicot,,,C3,1.38,0.32,NA,NA,0.37,0.22,NA,0.3,0.00938,147.1747743,34.12748389,1.68,2.16,0.27,0.34,Temperate Grasslands; Savannas & Shrublands,Central and Southern mixed grasslands,NA.,50803,G,Ellis County. W central Kansas. USA,38.86,-99.33,0.984,561,deep clay loam over limestone,ClLo,F,NA,285.32,14.75,33.99,1024.78,306.75,263.35,43.4,295.23,272.6,297.95,272.6,0.09,0.013,54.70168,0.247,0.045,0.239,0.045,0.58,1.24,0.47,0,0,12,0,0.658,D,S,sa
61,Albertson 1937,Machaeranthera pinnatifida,Sideranthus spinulosus,Asteraceae,Semi-shrub,P,Woody,Dicot,,,C3,0.75,0.11,NA,NA,0.29,0.16,NA,0.02,0.00389,192.9410679,28.29802329,1.81,3.41,0.39,0.73,Temperate Grasslands; Savannas & Shrublands,Central and Southern mixed grasslands,NA.,50803,G,Ellis County. W central Kansas. USA,38.86,-99.33,0.984,561,deep clay loam over limestone,ClLo,F,NA,285.32,14.75,33.99,1024.78,306.75,263.35,43.4,295.23,272.6,297.95,272.6,0.09,0.013,54.70168,0.247,0.045,0.239,0.045,0.58,1.24,0.47,0,0,12,0,0.658,D,S,sa
62,Albertson 1937,Minuartia michauxii var. texana,Arenaria texana,Caryophyllaceae,Forb,P,Herbaceous,Dicot,,,C3,0.61,0.23,NA,NA,0.21,0.17,NA,0.07,0.00318,191.9614736,72.37891628,1.24,1.33,0.34,0.37,Temperate Grasslands; Savannas & Shrublands,Central and Southern mixed grasslands,NA.,50803,G,Ellis County. W central Kansas. USA,38.86,-99.33,0.984,561,10 to 20 cm clay loam over limestone,ClLo,F,NA,285.32,14.75,33.99,1024.78,306.75,263.35,43.4,295.23,272.6,297.95,272.6,0.09,0.013,54.70168,0.247,0.045,0.239,0.045,0.58,1.24,0.47,0,0,12,0,0.658,D,S,sa
63,Albertson 1937,Mirabilis linearis,Allionia linearis,Nyctaginaceae,Forb,P,Herbaceous,Dicot,,,C3,1.29,0.2,NA,NA,0.47,0.14,NA,0.11,0.00482,267.4466477,41.46459655,3.36,3.23,0.36,0.35,Temperate Grasslands; Savannas & Shrublands,Central and Southern mixed grasslands,NA.,50803,G,Ellis County. W central Kansas. USA,38.86,-99.33,0.984,561,deep clay loam over limestone,ClLo,F,NA,285.32,14.75,33.99,1024.78,306.75,263.35,43.4,295.23,272.6,297.95,272.6,0.09,0.013,54.70168,0.247,0.045,0.239,0.045,0.58,1.24,0.47,0,0,12,0,0.658,D,S,sa
64,Albertson 1937,Oenothera macrocarpa ssp. fremontii,Megapterium fremontii,Onagraceae,Forb,P,Herbaceous,Dicot,,,C3,0.65,0.04,NA,NA,0.1,0.13,NA,0,0.00088,734.5612758,45.20377082,0.77,8.13,0.15,1.63,Temperate Grasslands; Savannas & Shrublands,Central and Southern mixed grasslands,NA.,50803,G,Ellis County. W central Kansas. USA,38.86,-99.33,0.984,561,10 to 20 cm clay loam over limestone,ClLo,F,NA,285.32,14.75,33.99,1024.78,306.75,263.35,43.4,295.23,272.6,297.95,272.6,0.09,0.013,54.70168,0.247,0.045,0.239,0.045,0.58,1.24,0.47,0,0,12,0,0.658,D,S,sa
65,Albertson 1937,Packera plattensis,Senecio plattensis,Asteraceae,Forb,P,Herbaceous,Dicot,,,C3,0.61,0.17,NA,NA,0.31,0.05,NA,0.04,0.00041,1503.244108,418.9368825,6.2,1.79,0.51,0.15,Temperate Grasslands; Savannas & Shrublands,Central and Southern mixed grasslands,NA.,50803,G,Ellis County. W central Kansas. USA,38.86,-99.33,0.984,561,10 to 20 cm clay loam over limestone,ClLo,F,NA,285.32,14.75,33.99,1024.78,306.75,263.35,43.4,295.23,272.6,297.95,272.6,0.09,0.013,54.70168,0.247,0.045,0.239,0.045,0.58,1.24,0.47,0,0,12,0,0.658,D,S,sa
66,Albertson 1937,Panicum virgatum,,Poaceae,Grass,P,Herbaceous,Monocot,,,C4,2.4,0.17,NA,NA,0.87,0.23,NA,0.15,0.0241,99.59503642,7.054648413,3.78,7.06,0.36,0.68,Temperate Grasslands; Savannas & Shrublands,Central and Southern mixed grasslands,NA.,50803,G,Ellis County. W central Kansas. USA,38.86,-99.33,0.984,561,deep clay loam over limestone,ClLo,F,NA,285.32,14.75,33.99,1024.78,306.75,263.35,43.4,295.23,272.6,297.95,272.6,0.09,0.013,54.70168,0.247,0.045,0.239,0.045,0.58,1.24,0.47,0,0,12,0,0.658,D,S,sa
67,Albertson 1937,Paronychia jamesii,,Caryophyllaceae,Semi-shrub,P,Woody,Dicot,,,C3,0.65,0.08,NA,NA,0.2,0.09,NA,0.01,0.00085,766.3015778,94.31404035,2.22,4.06,0.31,0.56,Temperate Grasslands; Savannas & Shrublands,Central and Southern mixed grasslands,NA.,50803,G,Ellis County. W central Kansas. USA,38.86,-99.33,0.984,561,10 to 20 cm clay loam over limestone,ClLo,F,NA,285.32,14.75,33.99,1024.78,306.75,263.35,43.4,295.23,272.6,297.95,272.6,0.09,0.013,54.70168,0.247,0.045,0.239,0.045,0.58,1.24,0.47,0,0,12,0,0.658,D,S,sa
68,Albertson 1937,Pascopyrum smithii,Agropyron smithii,Poaceae,Grass,P,Herbaceous,Monocot,,,C3,2.18,0.15,NA,NA,0.61,0.17,NA,0.1,0.00923,236.1729713,16.25043381,3.59,7.27,0.28,0.57,Temperate Grasslands; Savannas & Shrublands,Central and Southern mixed grasslands,NA.,50803,G,Ellis County. W central Kansas. USA,38.86,-99.33,0.984,561,deep clay loam over limestone,ClLo,F,NA,285.32,14.75,33.99,1024.78,306.75,263.35,43.4,295.23,272.6,297.95,272.6,0.09,0.013,54.70168,0.247,0.045,0.239,0.045,0.58,1.24,0.47,0,0,12,0,0.658,D,S,sa
69,Albertson 1937:p. 533,Prunus pumila var. besseyi,Prunus besseyi,Rosaceae,Shrub,P,Woody,Dicot,D,broad-leaf,C3,3.35,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,Temperate Grasslands; Savannas & Shrublands,Central and Southern mixed grasslands,NA.,50803,G,Ellis County. W central Kansas. USA,38.86,-99.33,0.984,561,10 to 20 cm clay loam over limestone,ClLo,F,NA,285.32,14.75,33.99,1024.78,306.75,263.35,43.4,295.23,272.6,297.95,272.6,0.09,0.013,54.70168,0.247,0.045,0.239,0.045,0.58,1.24,0.47,0,0,12,0,0.658,D,S,sa
70,Albertson 1937,Psoralidium tenuiflorum,Psoralea tenuiflora,Fabaceae,Forb,P,Herbaceous,Dicot,,,C3,2.42,0.54,NA,NA,0.61,0.47,NA,1.48,0.07055,34.29976881,7.65366742,1.3,2.24,0.25,0.44,Temperate Grasslands; Savannas & Shrublands,Central and Southern mixed grasslands,NA.,50803,G,Ellis County. W central Kansas. USA,38.86,-99.33,0.984,561,deep clay loam over limestone,ClLo,F,NA,285.32,14.75,33.99,1024.78,306.75,263.35,43.4,295.23,272.6,297.95,272.6,0.09,0.013,54.70168,0.247,0.045,0.239,0.045,0.58,1.24,0.47,0,0,12,0,0.658,D,S,sa
71,Albertson 1937,Psoralidium tenuiflorum,Psoralea tenuiflora,Fabaceae,Forb,P,Herbaceous,Dicot,,,C3,2.68,0.59,NA,NA,0.71,0.62,NA,1.95,0.1429,18.75402299,4.128684165,1.15,2.27,0.26,0.53,Temperate Grasslands; Savannas & Shrublands,Central and Southern mixed grasslands,NA.,50803,G,Ellis County. W central Kansas. USA,38.86,-99.33,0.984,561,deep clay loam over limestone,ClLo,F,NA,285.32,14.75,33.99,1024.78,306.75,263.35,43.4,295.23,272.6,297.95,272.6,0.09,0.013,54.70168,0.247,0.045,0.239,0.045,0.58,1.24,0.47,0,0,12,0,0.658,D,S,sa
72,Albertson 1937,Ratibida columnifera,Ratibida columnaris,Asteraceae,Forb,P,Herbaceous,Dicot,,,C3,0.64,0.37,NA,NA,0.38,0.13,NA,0.18,0.00336,190.3316666,110.0354948,2.92,0.86,0.59,0.18,Temperate Grasslands; Savannas & Shrublands,Central and Southern mixed grasslands,NA.,50803,G,Ellis County. W central Kansas. USA,38.86,-99.33,0.984,561,deep clay loam over limestone,ClLo,F,NA,285.32,14.75,33.99,1024.78,306.75,263.35,43.4,295.23,272.6,297.95,272.6,0.09,0.013,54.70168,0.247,0.045,0.239,0.045,0.58,1.24,0.47,0,0,12,0,0.658,D,S,sa
73,Albertson 1937,Rhus glabra,,Anacardiaceae,Tree,P,Woody,Dicot,D,broad-leaf,C3,1.52,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,Temperate Grasslands; Savannas & Shrublands,Central and Southern mixed grasslands,NA.,50803,G,Ellis County. W central Kansas. USA,38.86,-99.33,0.984,561,10 to 20 cm clay loam over limestone,ClLo,F,NA,285.32,14.75,33.99,1024.78,306.75,263.35,43.4,295.23,272.6,297.95,272.6,0.09,0.013,54.70168,0.247,0.045,0.239,0.045,0.58,1.24,0.47,0,0,12,0,0.658,D,S,sa
74,Albertson 1937,Rhus trilobata,Rhus triloba,Anacardiaceae,Shrub,P,Woody,Dicot,D,broad-leaf,C3,2.44,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,Temperate Grasslands; Savannas & Shrublands,Central and Southern mixed grasslands,NA.,50803,G,Ellis County. W central Kansas. USA,38.86,-99.33,0.984,561,10 to 20 cm clay loam over limestone,ClLo,F,NA,285.32,14.75,33.99,1024.78,306.75,263.35,43.4,295.23,272.6,297.95,272.6,0.09,0.013,54.70168,0.247,0.045,0.239,0.045,0.58,1.24,0.47,0,0,12,0,0.658,D,S,sa
75,Albertson 1937:p. 533,Rosa arkansana var. suffulta,Rosa pratincola,Rosaceae,Shrub,P,Woody,Dicot,D,broad-leaf,C3,3.66,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,Temperate Grasslands; Savannas & Shrublands,Central and Southern mixed grasslands,NA.,50803,G,Ellis County. W central Kansas. USA,38.86,-99.33,0.984,561,10 to 20 cm clay loam over limestone,ClLo,F,NA,285.32,14.75,33.99,1024.78,306.75,263.35,43.4,295.23,272.6,297.95,272.6,0.09,0.013,54.70168,0.247,0.045,0.239,0.045,0.58,1.24,0.47,0,0,12,0,0.658,D,S,sa
76,Albertson 1937,Salvia azurea var. grandiflora,Salvia pitcheri,Lamiaceae,Forb,P,Herbaceous,Dicot,,,C3,1.38,0.21,NA,NA,0.84,0.2,NA,0.13,0.01759,78.44065052,11.93662073,4.2,3.29,0.61,0.48,Temperate Grasslands; Savannas & Shrublands,Central and Southern mixed grasslands,NA.,50803,G,Ellis County. W central Kansas. USA,38.86,-99.33,0.984,561,deep clay loam over limestone,ClLo,F,NA,285.32,14.75,33.99,1024.78,306.75,263.35,43.4,295.23,272.6,297.95,272.6,0.09,0.013,54.70168,0.247,0.045,0.239,0.045,0.58,1.24,0.47,0,0,12,0,0.658,D,S,sa
77,Albertson 1937,Schizachyrium scoparium,Andropogon scoparius,Poaceae,Grass,P,Herbaceous,Monocot,,,C4,1.22,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,Temperate Grasslands; Savannas & Shrublands,Central and Southern mixed grasslands,NA.,50803,G,Ellis County. W central Kansas. USA,38.86,-99.33,0.984,561,10 to 20 cm clay loam over limestone,ClLo,F,NA,285.32,14.75,33.99,1024.78,306.75,263.35,43.4,295.23,272.6,297.95,272.6,0.09,0.013,54.70168,0.247,0.045,0.239,0.045,0.58,1.24,0.47,0,0,12,0,0.658,D,S,sa
78,Albertson 1937,Scutellaria resinosa,,Lamiaceae,Semi-shrub,P,Woody,Dicot,,,C3,0.61,0.22,NA,NA,0.14,0.1,NA,0.06,0.00073,832.1529882,300.1207498,1.4,1.39,0.23,0.23,Temperate Grasslands; Savannas & Shrublands,Central and Southern mixed grasslands,NA.,50803,G,Ellis County. W central Kansas. USA,38.86,-99.33,0.984,561,10 to 20 cm clay loam over limestone,ClLo,F,NA,285.32,14.75,33.99,1024.78,306.75,263.35,43.4,295.23,272.6,297.95,272.6,0.09,0.013,54.70168,0.247,0.045,0.239,0.045,0.58,1.24,0.47,0,0,12,0,0.658,D,S,sa
79,Albertson 1937,Solidago missouriensis var. fasciculata,Solidago glaberrima,Asteraceae,Forb,P,Herbaceous,Dicot,,,C3,1.83,0.34,NA,NA,0.34,0.13,NA,0.44,0.00301,608.256622,113.009427,2.62,2.69,0.19,0.19,Temperate Grasslands; Savannas & Shrublands,Central and Southern mixed grasslands,NA.,50803,G,Ellis County. W central Kansas. USA,38.86,-99.33,0.984,561,deep clay loam over limestone,ClLo,F,NA,285.32,14.75,33.99,1024.78,306.75,263.35,43.4,295.23,272.6,297.95,272.6,0.09,0.013,54.70168,0.247,0.045,0.239,0.045,0.58,1.24,0.47,0,0,12,0,0.658,D,S,sa
80,Albertson 1937,Solidago mollis,,Asteraceae,Forb,P,Herbaceous,Dicot,,,C3,2.09,0.36,NA,NA,0.59,0.45,NA,0.57,0.06256,33.40954989,5.754755004,1.31,2.9,0.28,0.63,Temperate Grasslands; Savannas & Shrublands,Central and Southern mixed grasslands,NA.,50803,G,Ellis County. W central Kansas. USA,38.86,-99.33,0.984,561,deep clay loam over limestone,ClLo,F,NA,285.32,14.75,33.99,1024.78,306.75,263.35,43.4,295.23,272.6,297.95,272.6,0.09,0.013,54.70168,0.247,0.045,0.239,0.045,0.58,1.24,0.47,0,0,12,0,0.658,D,S,sa
81,Albertson 1937,Sorghastrum nutans,,Poaceae,Grass,P,Herbaceous,Monocot,,,C4,2.1,0.13,NA,NA,0.9,0.32,NA,0.07,0.04825,43.51892975,2.694028985,2.81,8.08,0.43,1.23,Temperate Grasslands; Savannas & Shrublands,Central and Southern mixed grasslands,NA.,50803,G,Ellis County. W central Kansas. USA,38.86,-99.33,0.984,561,deep clay loam over limestone,ClLo,F,NA,285.32,14.75,33.99,1024.78,306.75,263.35,43.4,295.23,272.6,297.95,272.6,0.09,0.013,54.70168,0.247,0.045,0.239,0.045,0.58,1.24,0.47,0,0,12,0,0.658,D,S,sa
82,Albertson 1937,Sphaeralcea coccinea,Malvastrum coccineum,Malvaceae,Semi-shrub,P,Woody,Dicot,,,C3,2.3,0.19,NA,NA,0.25,0.2,NA,0.17,0.00524,439.2676429,36.28732702,1.25,6.05,0.11,0.53,Temperate Grasslands; Savannas & Shrublands,Central and Southern mixed grasslands,NA.,50803,G,Ellis County. W central Kansas. USA,38.86,-99.33,0.984,561,deep clay loam over limestone,ClLo,F,NA,285.32,14.75,33.99,1024.78,306.75,263.35,43.4,295.23,272.6,297.95,272.6,0.09,0.013,54.70168,0.247,0.045,0.239,0.045,0.58,1.24,0.47,0,0,12,0,0.658,D,S,sa
83,Albertson 1937,Stenosiphon linifolius,Stenosiphon linifolium,Onagraceae,Semi-shrub,P,Woody,Dicot,,,C3,0.72,0.23,NA,NA,0.49,0.09,NA,0.08,0.00208,346.4597401,110.6746392,5.44,1.57,0.68,0.2,Temperate Grasslands; Savannas & Shrublands,Central and Southern mixed grasslands,NA.,50803,G,Ellis County. W central Kansas. USA,38.86,-99.33,0.984,561,deep clay loam over limestone,ClLo,F,NA,285.32,14.75,33.99,1024.78,306.75,263.35,43.4,295.23,272.6,297.95,272.6,0.09,0.013,54.70168,0.247,0.045,0.239,0.045,0.58,1.24,0.47,0,0,12,0,0.658,D,S,sa
84,Albertson 1937,Thelesperma megapotamicum,Thelesperma gracile,Asteraceae,Forb,P,Herbaceous,Dicot,,,C3,0.76,0.05,NA,NA,0.6,0.16,NA,0,0.00804,94.49824746,6.216989965,3.75,7.6,0.79,1.6,Temperate Grasslands; Savannas & Shrublands,Central and Southern mixed grasslands,NA.,50803,G,Ellis County. W central Kansas. USA,38.86,-99.33,0.984,561,deep clay loam over limestone,ClLo,F,NA,285.32,14.75,33.99,1024.78,306.75,263.35,43.4,295.23,272.6,297.95,272.6,0.09,0.013,54.70168,0.247,0.045,0.239,0.045,0.58,1.24,0.47,0,0,12,0,0.658,D,S,sa
85,Albertson 1937,Vernonia baldwinii,,Asteraceae,Forb,P,Herbaceous,Dicot,,,C3,1.23,0.28,NA,NA,0.89,0.25,NA,0.2,0.02913,42.23149591,9.613673866,3.56,2.2,0.72,0.45,Temperate Grasslands; Savannas & Shrublands,Central and Southern mixed grasslands,NA.,50803,G,Ellis County. W central Kansas. USA,38.86,-99.33,0.984,561,deep clay loam over limestone,ClLo,F,NA,285.32,14.75,33.99,1024.78,306.75,263.35,43.4,295.23,272.6,297.95,272.6,0.09,0.013,54.70168,0.247,0.045,0.239,0.045,0.58,1.24,0.47,0,0,12,0,0.658,D,S,sa
86,Anderson 1927,Brachypodium pinnatum,,Poaceae,Grass,P,Herbaceous,Monocot,,,C3,0.1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,Temperate Grasslands; Savannas & Shrublands,English Lowlands beech forests,PA,80421,,Surrey. United Kingdom,51.34,-0.12,23.006,20,loam. rendzina. limestone at 25 cm,Lo,M,NA,283.25,8.14,39.33,469.38,293.45,272.75,20.7,278.8,279.55,289.27,277.95,0.073,0.044,17.86847,0.214,0.149,0.152,0.19,0.6,0.738,0.81,0.244,6,6,0.244,0.288,D,E,hu
87,Anderson 1927,Bromopsis erecta,Bromus erectus,Poaceae,Grass,P,Herbaceous,Monocot,,,C3,0.13,0.05,NA,NA,NA,NA,NA,0,NA,NA,NA,NA,1.3,NA,NA,Temperate Grasslands; Savannas & Shrublands,English Lowlands beech forests,PA,80421,,Surrey. United Kingdom,51.34,-0.12,23.006,20,loam. rendzina. limestone at 25 cm,Lo,M,NA,283.25,8.14,39.33,469.38,293.45,272.75,20.7,278.8,279.55,289.27,277.95,0.073,0.044,17.86847,0.214,0.149,0.152,0.19,0.6,0.738,0.81,0.244,6,6,0.244,0.288,D,E,hu
